
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All households","Owned: Owned outright","Owned: Owned with a mortgage or loan","Social rented: Rented from council (Local Authority)","Social rented: Other","Private rented: Private landlord or letting agency","Private rented: Other"

"AL1  1",2454,755,933,157,58,491,31
"AL1  2",2577,675,877,576,93,295,28
"AL1  3",2110,416,529,154,187,717,34
"AL1  4",3611,1434,1518,54,43,498,27
"AL1  5",4247,1036,1377,642,241,804,44
"AL10 0",4201,591,898,1403,362,762,36
"AL10 8",4071,721,828,1174,303,912,41
"AL10 9",4390,707,1296,462,508,1208,68
"AL2  1",3763,936,1594,394,205,508,43
"AL2  2",2513,964,953,194,108,233,17
"AL2  3",3180,1458,1289,69,19,262,34
"AL3  4",2320,1135,803,15,15,298,17
"AL3  5",3424,871,1320,331,333,504,35
"AL3  6",1602,420,603,329,80,117,15
"AL3  7",2199,821,815,256,82,167,20
"AL3  8",1874,540,777,276,28,207,14
"AL4  0",3459,1052,1523,227,253,316,50
"AL4  8",2617,1047,946,341,48,166,21
"AL4  9",4711,1800,1888,353,118,455,43
"AL5  1",2411,1024,991,149,13,196,11
"AL5  2",1835,992,556,11,15,217,27
"AL5  3",1630,676,807,15,3,111,8
"AL5  4",2517,952,941,184,68,311,26
"AL5  5",3191,1060,1262,304,100,406,29
"AL6  0",2536,1251,1016,34,46,156,12
"AL6  9",1987,779,642,300,56,154,17
"AL7  1",2484,579,889,602,147,191,20
"AL7  2",3333,738,1190,589,404,361,16
"AL7  3",4009,565,1043,1584,392,314,14
"AL7  4",4318,799,1444,1091,482,366,46
"AL8  6",2669,861,759,462,248,273,10
"AL8  7",2941,1142,1021,536,33,151,14
"AL9  5",886,352,302,22,11,153,13
"AL9  6",531,238,135,48,8,51,27
"AL9  7",2780,1137,1025,222,35,285,27
"B1   1",2168,128,260,37,421,1210,32
"B1   2",1454,109,184,450,52,599,17
"B1   3",618,35,130,10,48,335,8
"B10  0",2524,542,532,344,429,549,44
"B10  9",4527,1439,1228,394,413,872,63
"B11  1",3284,827,662,442,639,529,52
"B11  2",1120,250,349,101,77,285,22
"B11  3",5385,1364,1693,688,194,1257,67
"B11  4",2964,1108,792,101,220,620,47
"B12  0",1878,115,156,671,426,389,18
"B12  8",2479,528,439,189,635,568,43
"B12  9",2362,538,473,362,429,477,25
"B13  0",5280,1582,1703,1178,121,540,54
"B13  8",3458,706,827,198,670,960,34
"B13  9",6342,1713,1638,305,839,1623,96
"B14  4",5213,1330,1960,982,220,498,52
"B14  5",4790,1139,1324,1633,146,332,31
"B14  6",4981,1553,1631,729,338,486,46
"B14  7",3216,906,1193,210,136,673,38
"B15  1",1160,126,112,85,579,223,9
"B15  2",3273,521,576,232,944,818,71
"B15  3",1936,770,522,19,44,465,43
"B16  0",3494,726,659,319,539,1120,37
"B16  8",3567,263,479,1038,160,1480,50
"B16  9",3297,466,546,333,329,1513,43
"B17  0",4088,1064,867,640,266,1091,46
"B17  8",3418,1167,981,96,186,866,44
"B17  9",3443,995,1165,108,186,865,48
"B18  4",2075,360,373,403,306,510,32
"B18  5",2018,296,349,521,344,428,26
"B18  6",1042,61,161,72,163,544,19
"B18  7",1097,140,182,508,92,125,14
"B19  1",2556,483,460,306,811,399,23
"B19  2",2618,242,415,1361,277,200,22
"B19  3",1314,60,79,715,249,140,9
"B2   4",335,8,13,8,50,247,5
"B2   5",110,1,5,1,7,94,1
"B20  1",2746,993,919,86,114,579,18
"B20  2",3747,962,1080,228,607,748,31
"B20  3",4557,1213,872,269,1093,894,56
"B21  0",3378,783,684,283,600,831,64
"B21  8",3203,961,788,214,462,653,47
"B21  9",3273,916,695,216,658,601,88
"B23  5",6748,1366,1975,1718,608,713,62
"B23  6",5055,947,1449,479,485,1464,63
"B23  7",6845,1609,2250,945,447,1310,77
"B24  0",4531,1159,1680,581,419,527,50
"B24  8",3000,648,820,415,287,728,38
"B24  9",4403,1177,1446,503,298,805,41
"B25  8",6006,1356,1961,1220,278,965,75
"B26  1",4496,1476,1848,493,65,485,47
"B26  2",4582,1461,1762,744,126,356,50
"B26  3",4481,1646,1655,482,41,531,59
"B27  6",3901,813,1297,286,354,951,65
"B27  7",6012,1329,1841,1511,196,908,59
"B28  0",5448,2078,2226,245,81,673,61
"B28  8",2641,984,1013,128,90,345,34
"B28  9",2828,994,1019,322,32,369,25
"B29  4",2721,785,488,466,675,219,38
"B29  5",4182,745,1193,1253,344,468,50
"B29  6",4297,1006,853,299,183,1781,92
"B29  7",3842,942,809,114,149,1674,75
"B3   1",1516,81,236,15,133,971,44
"B3   2",89,3,13,2,1,63,5
"B30  1",4463,1194,1222,150,1248,491,39
