
"KS106EW - Adults not in employment and dependent children and persons with long-term health problems or disability for all households"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","count of Household; All households","No adults in employment in household","No adults in employment in household: With dependent children","No adults in employment in household: No dependent children","Dependent children in household: All ages","Dependent children in household: Age 0 to 4","One person in household with a long-term health problem or disability","One person in household with a long-term health problem or disability: With dependent children","One person in household with a long-term health problem or disability: No dependent children"

"AL - St Albans",99381,28009,2666,25343,31854,13125,21316,4023,17293
"B - Birmingham",751008,267067,46226,220841,243853,102257,206418,44504,161914
"BA - Bath",183389,59961,5170,54791,49676,19001,45751,7317,38434
"BB - Blackburn",202156,72980,10020,62960,63109,26088,59619,11476,48143
"BD - Bradford",223923,76225,12496,63729,75257,33287,59238,13579,45659
"BH - Bournemouth",242868,91411,6331,85080,58119,22427,65244,9035,56209
"BL - Bolton",160166,56544,7255,49289,49254,19601,44996,8656,36340
"BN - Brighton",356346,126337,11145,115192,89161,34718,94859,14144,80715
"BR - Bromley",125000,40161,4581,35580,38611,15119,29192,5255,23937
"BS - Bristol",398258,127913,15169,112744,110699,46386,98935,16905,82030
"CA - Carlisle",140639,49791,4056,45735,36101,13260,38578,5638,32940
"CB - Cambridge",167769,45575,3749,41826,48458,20049,37398,6090,31308
"CH - Chester",285835,106114,12027,94087,80201,30336,82854,13742,69112
"CM - Chelmsford",270005,80727,7852,72875,81658,31133,62530,11087,51443
"CO - Colchester",176926,66346,6241,60105,47012,17964,47631,7303,40328
"CR - Croydon",159003,44968,9174,35794,56198,23956,36422,8813,27609
"CT - Canterbury",206231,80221,8760,71461,54857,21336,59060,9501,49559
"CV - Coventry",341799,115216,13807,101409,100228,40871,85935,15448,70487
"CW - Crewe",130777,43084,4024,39060,38122,14126,33436,5530,27906
"DA - Dartford",173530,54322,7296,47026,56232,22318,42101,8353,33748
"DE - Derby",306789,103574,11671,91903,89571,35031,81213,14311,66902
"DH - Durham",132873,50530,5640,44890,36283,13785,39762,6368,33394
"DL - Darlington",156929,57610,6340,51270,43628,16619,44534,7133,37401
"DN - Doncaster",320177,116632,14913,101719,92516,36528,88431,14914,73517
"DT - Dorchester",93219,35449,2223,33226,22222,8010,25847,3566,22281
"DY - Dudley",171537,62430,7934,54496,50098,19405,47460,8314,39146
"E - London E",371209,104915,27348,77567,121013,59938,85664,22758,62906
"EC - London EC",16712,4830,716,4114,2563,1247,3114,499,2615
"EN - Enfield",137752,44032,8091,35941,46474,18917,33401,7061,26340
"EX - Exeter",235920,86602,5782,80820,58253,21940,63552,8927,54625
"FY - Blackpool",125975,53794,5390,48404,31370,11680,40474,5717,34757
"GL - Gloucester",257740,80941,6373,74568,69580,26335,62306,9505,52801
"GU - Guildford",288291,77724,6205,71519,88951,35336,59973,10568,49405
"HA - Harrow",169235,45524,7309,38215,60630,24819,40586,9882,30704
"HD - Huddersfield",111708,38397,4373,34024,32338,12869,28326,4936,23390
"HG - Harrogate",59524,18422,1075,17347,16620,6084,13713,1975,11738
"HP - Hemel Hempstead",195820,54089,5349,48740,62440,25079,42390,7975,34415
"HR - Hereford",75480,25687,2061,23626,20020,7413,20105,3173,16932
"HU - Hull",191829,71715,9371,62344,53337,21020,50688,8208,42480
"HX - Halifax",69055,23452,2942,20510,20717,8191,18036,3230,14806
"IG - Ilford",119693,35697,7952,27745,46815,20937,29089,7676,21413
"IP - Ipswich",252903,84014,7414,76600,69929,27496,63605,10292,53313
"KT - Kingston upon Thames",215019,59757,5195,54562,67069,27319,44218,7724,36494
"L - Liverpool",370832,151102,22390,128712,101730,38484,115901,20432,95469
"LA - Lancaster",143130,53312,4045,49267,35570,13002,40407,5798,34609
"LE - Leicester",391690,125369,14774,110595,118674,47345,96201,18421,77780
"LN - Lincoln",126445,46432,3905,42527,32163,12026,34306,5243,29063
"LS - Leeds",330485,112724,14082,98642,90760,38284,81456,13631,67825
"LU - Luton",129087,38524,6396,32128,44127,19227,30531,7208,23323
"M - Manchester",492832,174567,29902,144665,143255,63318,137140,26550,110590
"ME - Medway",245899,77032,10980,66052,78282,30992,60736,12303,48433
"MK - Milton Keynes",202910,55753,7490,48263,67359,27903,45642,9240,36402
"N - London N",345384,99337,23191,76146,103296,46459,79842,18020,61822
"NE - Newcastle upon Tyne",510129,194232,23734,170498,137510,52922,145769,23788,121981
"NG - Nottingham",493006,175020,21787,153233,139158,55066,133713,23141,110572
"NN - Northampton",272410,80559,9808,70751,83816,34769,65270,12107,53163
"NR - Norwich",315586,118970,10980,107990,79729,30799,86083,12825,73258
"NW - London NW",221382,63109,12714,50395,64271,30398,50780,11044,39736
"OL - Oldham",188327,68319,11253,57066,61957,26005,56205,11873,44332
"OX - Oxford",242290,66379,6445,59934,70973,29592,52916,9117,43799
"PE - Peterborough",372974,128884,12738,116146,105130,41309,97737,16561,81176
"PL - Plymouth",232030,84383,8236,76147,61335,23534,65557,11006,54551
"PO - Portsmouth",352381,128095,12901,115194,94545,36433,92966,15025,77941
"PR - Preston",219457,74486,7118,67368,62125,24150,58728,9758,48970
"RG - Reading",314494,80992,8641,72351,98686,41503,63910,12315,51595
"RH - Redhill",217383,60726,5176,55550,65813,26054,47683,8368,39315
"RM - Romford",205198,67859,12640,55219,70983,30386,53053,11064,41989
"S - Sheffield",578166,215246,27121,188125,163207,64038,166515,28698,137817
"SE - London SE",412616,115799,27075,88724,127627,60560,93142,21030,72112
"SG - Stevenage",167378,46531,4825,41706,52016,20471,37406,6934,30472
"SK - Stockport",260660,87253,8547,78706,75244,28588,68720,11700,57020
"SL - Slough",144701,38438,4773,33665,48428,20917,30328,6365,23963
"SM - Sutton",87844,24783,3099,21684,28301,11341,19757,3917,15840
"SN - Swindon",191326,54864,5863,49001,58181,22812,44349,8284,36065
"SO - Southampton",276203,88314,8298,80016,76038,30516,66543,10974,55569
"SP - Salisbury",94762,28291,2350,25941,27762,11120,22505,3850,18655
"SR - Sunderland",109601,45795,6036,39759,30508,11524,35442,5857,29585
"SS - Southend-on-Sea",216695,74445,8500,65945,63348,24552,56918,9625,47293
"ST - Stoke-on-Trent",275550,99491,10704,88787,76614,29618,78015,12843,65172
"SW - London SW",381866,90608,15441,75167,91841,45314,68719,12403,56316
"SY - Shrewsbury",144748,48987,3494,45493,37565,13569,38708,5809,32899
"TA - Taunton",139322,50745,3825,46920,35719,13413,37750,5375,32375
