
"KS105EW - Household composition"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Household composition","One person household","One person household: Aged 65 and over","One person household: Other","One family household","One family only: All aged 65 and over","One family only: Married or same-sex civil partnership couple","One family only: Married or same-sex civil partnership couple: No children","One family only: Married or same-sex civil partnership couple: Dependent children","One family only: Married or same-sex civil partnership couple: All children non-dependent","One family only: Cohabiting couple","One family only: Cohabiting couple: No children","One family only: Cohabiting couple: Dependent children","One family only: Cohabiting couple: All children non-dependent","One family only: Lone parent","One family only: Lone parent: Dependent children","One family only: Lone parent: All children non-dependent","Other household types","Other household types: With dependent children","Other household types: All full-time students","Other household types: All aged 65 and over","Other household types: Other"

"AL - St Albans",99381,27405,11654,15751,64480,8363,37896,11825,20613,5458,9563,5442,3656,465,8658,5570,3088,7496,2004,1186,204,4102
"B - Birmingham",751008,226868,91449,135419,455445,53712,239006,74948,118678,45380,64982,32341,28907,3734,97745,66070,31675,68695,30132,4954,1973,31636
"BA - Bath",183389,54910,24540,30370,116198,17948,63637,26030,28060,9547,18323,10231,7342,750,16290,11225,5065,12281,3041,1823,548,6869
"BB - Blackburn",202156,63789,24696,39093,125846,15190,67016,24586,30925,11505,20250,9260,9738,1252,23390,16304,7086,12521,6127,59,443,5892
"BD - Bradford",223923,66491,25896,40595,137726,15219,76076,26168,38010,11898,21867,10577,9923,1367,24564,16985,7579,19706,10307,624,502,8273
"BH - Bournemouth",242868,77675,37950,39725,146013,28037,76065,31657,32370,12038,21855,12591,8212,1052,20056,12611,7445,19180,4915,1925,981,11359
"BL - Bolton",160166,50211,19928,30283,100684,12254,53748,19344,24820,9584,15916,7497,7552,867,18766,12704,6062,9271,4170,243,349,4509
"BN - Brighton",356346,121814,54168,67646,204406,32341,101753,40612,45882,15259,37208,21656,14006,1546,33104,22516,10588,30126,6723,3224,1540,18639
"BR - Bromley",125000,37601,17012,20589,79676,10930,44298,13825,22251,8222,10678,5664,4445,569,13770,8969,4801,7723,2943,43,425,4312
"BS - Bristol",398258,122644,48220,74424,242852,32896,128232,48656,59365,20211,41883,24759,15446,1678,39841,28101,11740,32762,7754,3990,1160,19858
